term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"processed invoice","RU","A","2","ai-agent-economics.html","PROSE","processed invoice","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"payroll","RU","A","2","ai-agent-economics.html","PROSE","Если ИИ освободил 300 часов, но payroll не снизился, внешний подряд не отменён и сотрудники не создали дополнительный маржинальный объём, денежная экономия ещё ","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"HUMAN","RU","A","2","ai-agent-economics.html","PROSE","HUMAN","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"capacity","RU","A","2","ai-agent-economics.html","PROSE","Cost, time, errors, capacity.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"errors","RU","A","2","ai-agent-economics.html","PROSE","Cost, time, errors, capacity.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"time","RU","A","2","ai-agent-economics.html","PROSE","Cost, time, errors, capacity.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"HYBRID","RU","A","2","ai-agent-economics.html","PROSE","HYBRID","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Economy","RU","A","2","ai-agent-economics.html","PROSE","Economy","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Frontier","RU","A","2","ai-agent-economics.html","PROSE","Frontier","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Autonomy","RU","A","2","ai-agent-economics.html","PROSE","Autonomy","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Escalation","RU","A","2","ai-agent-economics.html","PROSE","Escalation","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"governance breach","RU","A","2","ai-agent-economics.html","PROSE","Governance предшествует МАСШТАБИРОВАТЬ. Высокий ROI не должен обходить governance breach.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"plan","RU","A","2","ai-agent-economics.html","PROSE","plan","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"fact","RU","A","2","ai-agent-economics.html","PROSE","fact","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"workload","RU","A","2","ai-agent-economics.html","PROSE","workload","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"route","RU","A","2","ai-agent-economics.html","PROSE","route","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"control","RU","A","2","ai-agent-economics.html","PROSE","control","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Outcome","RU","A","2","ai-agent-economics.html","PROSE","Cost / Outcome","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"unit","RU","A","2","ai-agent-economics.html","PROSE","unit","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Variance","RU","A","2","ai-agent-economics.html","PROSE","Variance","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"next","RU","A","2","ai-agent-economics.html","PROSE","next","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Management flow","RU","A","2","ai-agent-economics.html","PROSE","Management flow: от расходов к решению","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Quality & Risk","RU","A","2","ai-agent-economics.html","PROSE","Quality & Risk","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Diagnostic","RU","A","2","ai-agent-economics.html","PROSE","Diagnostic","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Governance & Budget","RU","A","2","ai-agent-economics.html","PROSE","Governance & Budget","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"risks and","RU","A","2","ai-agent-economics.html","PROSE","Actual, variance, benefits, risks and МАСШТАБИРОВАТЬ / ОПТИМИЗИРОВАТЬ / ОСТАНОВИТЬ.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"variance","RU","A","2","ai-agent-economics.html","PROSE","Actual, variance, benefits, risks and МАСШТАБИРОВАТЬ / ОПТИМИЗИРОВАТЬ / ОСТАНОВИТЬ.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"benefits","RU","A","2","ai-agent-economics.html","PROSE","Actual, variance, benefits, risks and МАСШТАБИРОВАТЬ / ОПТИМИЗИРОВАТЬ / ОСТАНОВИТЬ.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Actual","RU","A","2","ai-agent-economics.html","PROSE","Actual, variance, benefits, risks and МАСШТАБИРОВАТЬ / ОПТИМИЗИРОВАТЬ / ОСТАНОВИТЬ.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"AI-workload","RU","A","2","ai-agent-economics.html","PROSE","До увеличения ИИ-бюджета FINMENTOR помогает определить, где ИИ уже создаёт финансовый эффект, где стоимость можно снизить, где проблема находится в процессе, гд","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Transformation","RU","A","2","ai-dlya-cfo.html","CTA","Обсудите финансовый директор ИИ Transformation или пройдите финансовый рентген — на его основе готовится план автоматизации.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash flow","RU","A","2","cases.html","PROSE","Cash flow заморожен в дебиторке и запасах.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"treasury review","RU","A","2","cases.html","PROSE","Задаём формат регулярного treasury review.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Renewal Propensity","RU","A","2","client-base-control-system.html","PROSE",". Композит трёх поведенческих факторов — частота, глубина услуг, групповая активность — переводит каждого клиента в одну из индикативных зон склонности к продле","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"ERV","RU","A","2","client-base-control-system.html","PROSE","Универсальная логика для любых повторяющихся платежей: подписки, сервисные контракты, аренда мест и рабочих пространств, B2B-абонементы. Профиль актива → склонн","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"IP","RU","A","2","client-base-control-system.html","PROSE","В публичной версии внутренние шкалы, веса и скрипты не раскрываются — это рабочее IP системы. На витрине — управленческая логика; во внедрении — полный контур, ","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"after Fixed Costs","RU","A","2","fcf-postavshiki.html","CARD","Уровень 2 · after Fixed Costs","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Days Payable Outstanding","RU","A","2","fcf-postavshiki.html","PROSE",", Days Payable Outstanding — срок, в течение которого вы имеете право не платить поставщику). Пока действует отсрочка, товар уже у вас, вы можете его продавать,","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"stock keeping unit","RU","A","2","fcf-postavshiki.html","PROSE","Товарная позиция (stock keeping unit) — это конкретная товарная позиция. И вот в чём суть:","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"overhead","RU","A","2","fcf-postavshiki.html","PROSE","Прямые расходы — только первый слой. Бизнес несёт ещё постоянные затраты, не привязанные к конкретному товару, но без которых он не существует: аренда и зарплат","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Allocated Fixed Cost","RU","A","2","fcf-postavshiki.html","PROSE","Allocated Fixed Cost товарная позиция","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Total Fixed Cost Pool","RU","A","2","fcf-postavshiki.html","PROSE","= Total Fixed Cost Pool × (Товарная позиция Allocation Base ÷ Total Allocation Base)","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Total Allocation Base","RU","A","2","fcf-postavshiki.html","PROSE","= Total Fixed Cost Pool × (Товарная позиция Allocation Base ÷ Total Allocation Base)","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Allocated Fixed Costs","RU","A","2","fcf-postavshiki.html","PROSE","= Direct CFSKU − Allocated Fixed Costs","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"contribution margin","RU","A","2","fcf-postavshiki.html","CARD","Выручка, валовая прибыль или contribution margin","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"finance","RU","A","2","fcf-postavshiki.html","CARD","Больше операций — выше нагрузка на finance","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Management overhead","RU","A","2","fcf-postavshiki.html","CARD","Management overhead","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"cash contribution","RU","A","2","fcf-postavshiki.html","CARD","Выручка, валовая прибыль или cash contribution","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Overhead","RU","A","2","fcf-postavshiki.html","CARD","Overhead распределяется по экономическому вкладу","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"but Own-Funded","RU","A","2","fcf-postavshiki.html","PROSE","Profit, but Own-Funded","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Profit","RU","A","2","fcf-postavshiki.html","PROSE","Profit, but Own-Funded","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Dashboard","RU","B","2","fcf-postavshiki.html","PROSE","Как это выглядит в управленческой таблице (FCF by товарная позиция · Панель собственника (Dashboard))","1","LOW","Панель собственника","Tablou de bord pentru proprietar","YES","NO","","NO","MEDIUM","FAIL",""
"Fixed Costs","RU","A","2","fcf-postavshiki.html","CARD","Fixed Costs","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"CFSKU after Fixed","RU","A","2","fcf-postavshiki.html","CARD","CFSKU after Fixed","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Benefit","RU","A","2","fcf-postavshiki.html","CARD","Supplier Benefit","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Destroyer","RU","A","2","fcf-postavshiki.html","PROSE","— Generator / Supplier-Financed / Own-Funded / Destroyer и решение под каждым.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Generators","RU","A","2","fcf-postavshiki.html","PROSE","Наращивать объём по денежному потоку Generators, останавливать Cash Destroyers, пересматривать объёмы по Own-Funded товарам.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"fixed cost allocation","RU","A","2","fcf-postavshiki.html","PROSE","FCF по товарной позиции невозможно качественно считать вручную, если ассортимент большой. Нужна автоматическая связка продаж, себестоимости, склада, маркетинга,","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"inventory days","RU","A","2","fcf-postavshiki.html","CARD","Подтягивает inventory days и stock balance","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"stock balance","RU","A","2","fcf-postavshiki.html","CARD","Подтягивает inventory days и stock balance","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier-Funded","RU","A","2","fcf-postavshiki.html","CARD","Supplier-Funded товарная позиция","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
